Year,Film,winner
1963,How the West Was Won,1
1963,The Cardinal,0
1963,Cleopatra,0
1963,The Great Escape,0
1963,"It's a Mad, Mad, Mad, Mad World",0
1964,Mary Poppins,1
1964,Becket,0
1964,Father Goose,0
1964,"Hush...Hush, Sweet Charlotte",0
1964,My Fair Lady,0
1965,The Sound of Music,1
1965,Cat Ballou,0
1965,Doctor Zhivago,0
1965,The Flight of the Phoenix,0
1965,The Great Race,0
1966,Grand Prix,1
1966,Fantastic Voyage,0
1966,"The Russians Are Coming, the Russians Are Coming",0
1966,The Sand Pebbles,0
1966,Who's Afraid of Virginia Woolf?,0
1967,In the Heat of the Night,1
1967,Beach Red,0
1967,The Dirty Dozen,0
1967,Doctor Dolittle,0
1967,Guess Who's Coming to Dinner,0
1968,Bullitt,1
1968,Funny Girl,0
1968,The Odd Couple,0
1968,Oliver!,0
1968,Wild in the Streets,0
1969,Z,1
1969,"Hello, Dolly!",0
1969,Midnight Cowboy,0
1969,The Secret of Santa Vittoria,0
1969,"They Shoot Horses, Don't They?",0
1970,Patton,1
1970,Airport,0
1970,M*A*S*H,0
1970,Tora! Tora! Tora!,0
1970,Woodstock,0
1971,The French Connection,1
1971,The Andromeda Strain,0
1971,A Clockwork Orange,0
1971,Kotch,0
1971,Summer of '42,0
1972,Cabaret,1
1972,Deliverance,0
1972,The Godfather,0
1972,The Hot Rock,0
1972,The Poseidon Adventure,0
1973,The Sting,1
1973,American Graffiti,0
1973,The Day of the Jackal,0
1973,The Exorcist,0
1973,Jonathan Livingston Seagull,0
1974,The Towering Inferno,1
1974,Blazing Saddles,0
1974,Chinatown,0
1974,Earthquake,0
1974,The Longest Yard,0
1975,Jaws,1
1975,Dog Day Afternoon,0
1975,The Man Who Would Be King,0
1975,One Flew Over the Cuckoo's Nest,0
1975,Three Days of the Condor,0
1976,Rocky,1
1976,All the President's Men,0
1976,Bound for Glory,0
1976,Network,0
1976,Two-Minute Warning,0
1977,Star Wars,1
1977,Close Encounters of the Third Kind,0
1977,Julia,0
1977,Smokey and the Bandit,0
1977,The Turning Point,0
1978,The Deer Hunter,1
1978,The Boys from Brazil,0
1978,Coming Home,0
1978,Midnight Express,0
1978,Superman,0
1979,All That Jazz,1
1979,Apocalypse Now,0
1979,The Black Stallion,0
1979,Kramer vs. Kramer,0
1979,The Rose,0
1980,Raging Bull,1
1980,Coal Miner's Daughter,0
1980,The Competition,0
1980,The Elephant Man,0
1980,Fame,0
1981,Raiders of the Lost Ark,1
1981,Chariots of Fire,0
1981,The French Lieutenant's Woman,0
1981,On Golden Pond,0
1981,Reds,0
1982,Gandhi,1
1982,Das Boot,0
1982,E.T. the Extra-Terrestrial,0
1982,An Officer and a Gentleman,0
1982,Tootsie,0
1983,The Right Stuff,1
1983,Blue Thunder,0
1983,Flashdance,0
1983,Silkwood,0
1983,Terms of Endearment,0
1984,The Killing Fields,1
1984,Amadeus,0
1984,The Cotton Club,0
1984,A Passage to India,0
1984,Romancing the Stone,0
1985,Witness,1
1985,A Chorus Line,0
1985,Out of Africa,0
1985,Prizzi's Honor,0
1985,Runaway Train,0
1986,Platoon,1
1986,Aliens,0
1986,Hannah and Her Sisters,0
1986,The Mission,0
1986,Top Gun,0
1987,The Last Emperor,1
1987,Broadcast News,0
1987,Empire of the Sun,0
1987,Fatal Attraction,0
1987,RoboCop,0
1988,Who Framed Roger Rabbit,1
1988,Die Hard,0
1988,Gorillas in the Mist,0
1988,Mississippi Burning,0
1988,Rain Man,0
1989,Born on the Fourth of July,1
1989,The Bear,0
1989,Driving Miss Daisy,0
1989,The Fabulous Baker Boys,0
1989,Glory,0
1990,Dances with Wolves,1
1990,Ghost,0
1990,The Godfather Part III,0
1990,Goodfellas,0
1990,The Hunt for Red October,0
1991,JFK,1
1991,The Commitments,0
1991,The Silence of the Lambs,0
1991,Terminator 2: Judgment Day,0
1991,Thelma & Louise,0
1992,Unforgiven,1
1992,Basic Instinct,0
1992,The Crying Game,0
1992,A Few Good Men,0
1992,The Player,0
1993,Schindler's List,1
1993,The Fugitive,0
1993,In the Line of Fire,0
1993,In the Name of the Father,0
1993,The Piano,0
1994,Forrest Gump,1
1994,Hoop Dreams,0
1994,Pulp Fiction,0
1994,The Shawshank Redemption,0
1994,Speed,0
1995,Apollo 13,1
1995,Babe,0
1995,Braveheart,0
1995,Crimson Tide,0
1995,Seven,0
1996,The English Patient,1
1996,Evita,0
1996,Fargo,0
1996,Jerry Maguire,0
1996,Shine,0
1997,Titanic,1
1997,Air Force One,0
1997,As Good as It Gets,0
1997,Good Will Hunting,0
1997,L.A. Confidential,0
1998,Saving Private Ryan,1
1998,Life Is Beautiful,0
1998,Out of Sight,0
1998,Shakespeare in Love,0
1998,The Thin Red Line,0
1999,The Matrix,1
1999,American Beauty,0
1999,The Cider House Rules,0
1999,The Insider,0
1999,The Sixth Sense,0
2000,Traffic,1
2000,Almost Famous,0
2000,"Crouching Tiger, Hidden Dragon",0
2000,Gladiator,0
2000,Wonder Boys,0
2001,Black Hawk Down,1
2001,A Beautiful Mind,0
2001,The Lord of the Rings: The Fellowship of the Ring,0
2001,Memento,0
2001,Moulin Rouge!,0
2002,Chicago,1
2002,Gangs of New York,0
2002,The Hours,0
2002,The Lord of the Rings: The Two Towers,0
2002,The Pianist,0
2003,The Lord of the Rings: The Return of the King,1
2003,City of God,0
2003,Cold Mountain,0
2003,Master and Commander: The Far Side of the World,0
2003,Seabiscuit,0
2004,The Aviator,1
2004,Collateral,0
2004,Finding Neverland,0
2004,Million Dollar Baby,0
2004,Ray,0
2005,Crash,1
2005,Cinderella Man,0
2005,The Constant Gardener,0
2005,Munich,0
2005,Walk the Line,0
2006,The Departed,1
2006,Babel,0
2006,Blood Diamond,0
2006,Children of Men,0
2006,United 93,0
2007,The Bourne Ultimatum,1
2007,The Diving Bell and the Butterfly,0
2007,Into the Wild,0
2007,No Country for Old Men,0
2007,There Will Be Blood,0
2008,Slumdog Millionaire,1
2008,The Curious Case of Benjamin Button,0
2008,The Dark Knight,0
2008,Frost/Nixon,0
2008,Milk,0
2009,The Hurt Locker,1
2009,Avatar,0
2009,District 9,0
2009,Inglourious Basterds,0
2009,Precious: Based on the Novel 'Push' by Sapphire,0
2010,The Social Network,1
2010,Black Swan,0
2010,The Fighter,0
2010,The King's Speech,0
2010,127 Hours,0
2011,The Girl with the Dragon Tattoo,1
2011,The Artist,0
2011,The Descendants,0
2011,Hugo,0
2011,Moneyball,0
2012,Argo,1
2012,Life of Pi,0
2012,Lincoln,0
2012,Silver Linings Playbook,0
2012,Zero Dark Thirty,0
2013,Gravity,1
2013,American Hustle,0
2013,Captain Phillips,0
2013,Dallas Buyers Club,0
2013,12 Years a Slave,0
2014,Whiplash,1
2014,American Sniper,0
2014,Boyhood,0
2014,The Grand Budapest Hotel,0
2014,The Imitation Game,0
2015,Mad Max: Fury Road,1
2015,The Big Short,0
2015,The Revenant,0
2015,Spotlight,0
2015,Star Wars: The Force Awakens,0
2016,Hacksaw Ridge,1
2016,Arrival,0
2016,Hell or High Water,0
2016,La La Land,0
2016,Moonlight,0
2017,Dunkirk,1
2017,Baby Driver,0
2017,"I, Tonya",0
2017,The Shape of Water,0
2017,"Three Billboards Outside Ebbing, Missouri",0
2018,Bohemian Rhapsody,1
2018,BlacKkKlansman,0
2018,The Favourite,0
2018,Green Book,0
2018,Vice,0
